date,transaction amount,inflow or outflow,bank account name,transaction name,refrence ID,categroy
2025-10-17,50595.05,outflow,HDFC - Operations Account,Water Treatment Charges,FOOD-2ED4F534,operational cost
2025-03-05,77347.85,outflow,HDFC - Operations Account,Maize,FOOD-29BAE4FA,raw materials
2025-06-24,276983.4,inflow,ICICI - Procurement Account,Bulk Buyer Payment,FOOD-1A2E3884,client fees
2025-07-18,8371.57,outflow,Axis - Sales Collection Account,Water Treatment Charges,FOOD-58BC80CF,operational cost
2025-09-18,16748.78,outflow,HDFC - Operations Account,Water Treatment Charges,FOOD-068D66BA,operational cost
2025-11-18,112439.92,outflow,ICICI - Procurement Account,Carton Boxes,FOOD-95E3D069,raw materials
2026-01-19,38730.49,outflow,ICICI - Procurement Account,Refrigeration Maintenance,FOOD-9C529432,operational cost
2025-03-19,62657.42,outflow,ICICI - Procurement Account,Equipment Maintenance,FOOD-66C77002,operational cost
2025-08-26,261478.14,inflow,Axis - Sales Collection Account,Distributor Settlement,FOOD-52DD481F,client fees
2025-09-09,89895.29,outflow,Axis - Sales Collection Account,Factory Worker Payroll,FOOD-6801EDF5,workforce
2025-10-22,206910.72,inflow,SBI - Payroll Account,Distributor Settlement,FOOD-60E7E6FA,client fees
2025-05-18,10138.33,outflow,HDFC - Operations Account,Wheat Flour,FOOD-6307C748,raw materials
2025-03-16,326829.77,inflow,Kotak - Vendor Payments,Retail Chain Order Payment,FOOD-2F4FAEFD,client fees
2026-01-11,124956.86,outflow,Kotak - Vendor Payments,Plastic Containers,FOOD-2E5785DC,raw materials
2025-06-29,74320.08,outflow,Kotak - Vendor Payments,Quality Inspection Charges,FOOD-2904D254,operational cost
2025-08-31,97987.76,outflow,SBI - Payroll Account,Packaging Staff Payroll,FOOD-7BB8A3E2,workforce
2026-01-30,33171.28,outflow,ICICI - Procurement Account,Cold Storage Electricity Bill,FOOD-923D279F,operational cost
2025-05-11,105831.76,outflow,ICICI - Procurement Account,Milk Powder,FOOD-09339ED2,raw materials
2025-07-28,214777.08,inflow,ICICI - Procurement Account,Hotel Supply Invoice,FOOD-A0009296,client fees
2025-08-07,16211.53,outflow,ICICI - Procurement Account,Factory Worker Payroll,FOOD-CC084001,workforce
2025-07-26,110512.93,outflow,Kotak - Vendor Payments,Temporary Labour Wages,FOOD-10F5B465,workforce
2025-02-24,74974.31,outflow,ICICI - Procurement Account,Plant Cleaning & Sanitation,FOOD-D713C55A,operational cost
2025-08-07,17440.69,outflow,SBI - Payroll Account,Factory Power Charges,FOOD-4F1442A6,operational cost
2025-10-17,22814.58,outflow,SBI - Payroll Account,Quality Inspection Charges,FOOD-28DE0D4B,operational cost
2025-03-22,28114.95,outflow,HDFC - Operations Account,Equipment Maintenance,FOOD-CFA1ED47,operational cost
2025-05-27,32942.66,outflow,Kotak - Vendor Payments,Packaging Film,FOOD-49B38683,raw materials
2025-04-05,145449.07,outflow,HDFC - Operations Account,Cocoa Powder,FOOD-CE5036BE,raw materials
