txn_date,txn_name,account_name,amount,txn_type,description,reference_id,invoice_id,source
2025-06-01,Factory Worker Payroll,ICICI – Procurement Account,145155.77,INFLOW,Bulk order payment received,TXN-F938DD80D67B4CA4B6,,Faker_Test_Data
2025-06-01,Refrigeration Maintenance,SBI – Payroll Account,109027.49,INFLOW,Packaging material replenishment,TXN-EDB76FC74AFC4BBBB3,,Faker_Test_Data
2025-06-02,Cold Storage Electricity,Kotak – Vendor Payments Account,392064.61,INFLOW,Scheduled maintenance activity,TXN-C04AA4A992FB4B88BD,,Faker_Test_Data
2025-06-02,Bulk Order Receipt,HDFC – Operations Account,124592.73,INFLOW,Cold chain logistics charges,TXN-0E888EE3B7DE48B8A7,,Faker_Test_Data
2025-06-03,Cold Storage Electricity,HDFC – Operations Account,108954.78,INFLOW,Temporary labour payment,TXN-3FE759F4613B470C82,,Faker_Test_Data
2025-06-04,Wheat Flour Purchase,Axis – Sales Collection Account,85839.79,INFLOW,Bulk order payment received,TXN-A5C6E143EB99455A9C,,Faker_Test_Data
2025-06-04,Milk Powder Supply,Axis – Sales Collection Account,134789.11,OUTFLOW,Invoice settlement,TXN-BC62B95761754A2E9B,,Faker_Test_Data
2025-06-04,Spices Raw Material,HDFC – Operations Account,160725.13,INFLOW,Temporary labour payment,TXN-75690F8E800D4AB993,,Faker_Test_Data
2025-06-04,Retail Chain Settlement,Kotak – Vendor Payments Account,391317.51,INFLOW,Scheduled maintenance activity,TXN-448D80D3ACFB442DA2,,Faker_Test_Data
2025-06-04,Hotel Supply Payment,Kotak – Vendor Payments Account,5345.01,OUTFLOW,Cold chain logistics charges,TXN-F0887FAB84324095BA,,Faker_Test_Data
2025-06-04,Spices Raw Material,Kotak – Vendor Payments Account,359151.3,INFLOW,Invoice settlement,TXN-0F732A5C0295409980,,Faker_Test_Data
2025-06-04,Refrigeration Maintenance,SBI – Payroll Account,48956.04,OUTFLOW,Packaging material replenishment,TXN-6ED36D7E672B4A9AA7,,Faker_Test_Data
2025-06-04,Wheat Flour Purchase,Kotak – Vendor Payments Account,13194.17,OUTFLOW,Bulk order payment received,TXN-BAADD671104F4B7F89,,Faker_Test_Data
2025-06-05,Hotel Supply Payment,Kotak – Vendor Payments Account,126475.53,OUTFLOW,Temporary labour payment,TXN-86A90F20463842059C,,Faker_Test_Data
2025-06-05,Milk Powder Supply,ICICI – Procurement Account,135317.07,INFLOW,Bulk order payment received,TXN-83B25719343C4BA4AC,,Faker_Test_Data
